Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Transaction_Type,Satisfaction_Score,Feedback_Comments,Likelihood_to_Recommend,month,Total_Spend,Avg_Transaction_Value,Transaction_Count,months_since_last_transaction,total_spend_log
49,234,2023-01-03 00:00:00,1926.0,Investment,5.0,Needs improvement,10,2023-01,13926.0,2321.0,6,0,9.541584681053092
50,141,2023-01-03 01:00:00,3422.0,Purchase,8.0,Unsatisfactory,10,2023-01,11646.0,2911.5,4,0,9.362803915102653
51,708,2023-01-03 02:00:00,2509.0,Loan Payment,8.0,Very satisfied,7,2023-01,6181.0,2060.3333333333335,3,0,8.729397122692061
52,498,2023-01-03 03:00:00,3450.0,Investment,9.0,Good service,3,2023-01,18333.0,3055.5,6,0,9.816512538521721
53,555,2023-01-03 04:00:00,3555.0,Loan Payment,10.0,Very satisfied,5,2023-01,15942.0,2657.0,6,0,9.676775140407365
54,57,2023-01-03 05:00:00,1223.0,Bill Payment,8.0,Very satisfied,2,2023-01,2570.0,1285.0,2,0,7.852050207265889
55,932,2023-01-03 06:00:00,2941.0,Bill Payment,9.0,Very satisfied,2,2023-01,4120.0,1373.3333333333333,3,0,8.323851131338817
56,504,2023-01-03 07:00:00,428.0,Bill Payment,8.0,Good service,3,2023-01,4149.0,1037.25,4,0,8.330863613224745
41,626,2023-01-02 16:00:00,1745.0,Investment,9.0,Good service,10,2023-01,15230.0,2175.714285714286,7,0,9.631088103615504
42,462,2023-01-02 17:00:00,1048.0,Bill Payment,10.0,Unsatisfactory,9,2023-01,9203.0,1533.8333333333333,6,0,9.127393451155257
43,217,2023-01-02 18:00:00,2922.0,Bill Payment,9.0,Good service,3,2023-01,19007.0,2375.875,8,0,9.852615222162372
44,196,2023-01-02 19:00:00,4850.0,Bill Payment,10.0,Needs improvement,10,2023-01,13945.0,2324.1666666666665,6,0,9.542948007780955
45,793,2023-01-02 20:00:00,2550.0,Investment,8.0,Excellent,4,2023-01,14361.0,2051.5714285714284,7,0,9.572341108670264
46,202,2023-01-02 21:00:00,4424.0,Loan Payment,9.0,Unsatisfactory,3,2023-01,29806.0,2980.6,10,0,10.302498544237826
47,995,2023-01-02 22:00:00,1252.0,Bill Payment,9.0,Good service,10,2023-01,14043.0,2006.142857142857,7,0,9.549950537288323
48,647,2023-01-02 23:00:00,782.0,Investment,10.0,Very satisfied,5,2023-01,11149.0,1858.1666666666667,6,0,9.319194776888265
17,649,2023-01-01 16:00:00,2561.0,Bill Payment,10.0,Unsatisfactory,2,2023-01,198050.0,18004.545454545456,11,0,12.196279852267308
2,826,2023-01-01 01:00:00,0.0,Bill Payment,10.0,Good service,5,2023-01,4446.0,1482.0,3,0,8.399984990510696
3,916,2023-01-01 02:00:00,10.0,Purchase,6.0,Needs improvement,3,2023-01,18406.0,2045.111111111111,9,0,9.820486306032722
4,109,2023-01-01 03:00:00,72.0,Investment,4.0,Good service,7,2023-01,7492.0,1498.4,5,0,8.92172453036431
5,889,2023-01-01 04:00:00,1793.0,Investment,8.0,Very satisfied,3,2023-01,3324.0,1108.0,3,0,8.109224953089955
6,348,2023-01-01 05:00:00,3824.0,Loan Payment,8.0,Good service,4,2023-01,14463.0,2410.5,6,0,9.579418082631959
7,50,2023-01-01 06:00:00,235.0,Loan Payment,6.0,Unsatisfactory,4,2023-01,7730.0,1288.3333333333333,6,0,8.952993499320474
8,916,2023-01-01 07:00:00,1052.0,Loan Payment,6.0,Needs improvement,3,2023-01,18406.0,2045.111111111111,9,0,9.820486306032722
9,105,2023-01-01 08:00:00,854.0,Purchase,10.0,Very satisfied,10,2023-01,12515.0,1787.857142857143,7,0,9.434763104788773
10,420,2023-01-01 09:00:00,2690.0,Investment,10.0,Good service,9,2023-01,14652.0,1628.0,9,0,9.592400371638025
11,373,2023-01-01 10:00:00,4129.0,Investment,9.0,Good service,2,2023-01,17243.0,3448.6,5,0,9.755219535867026
12,27,2023-01-01 11:00:00,1244.0,Investment,10.0,Needs improvement,5,2023-01,207174.0,34529.0,6,0,12.241319125717244
13,968,2023-01-01 12:00:00,1994.0,Bill Payment,10.0,Needs improvement,4,2023-01,6611.0,1322.2,5,0,8.796641458940915
14,800,2023-01-01 13:00:00,4266.0,Purchase,8.0,Very satisfied,10,2023-01,17620.0,3524.0,5,0,9.77684665156873
15,769,2023-01-01 14:00:00,1288.0,Purchase,5.0,Unsatisfactory,8,2023-01,2043.0,1021.5,2,0,7.622663951323595
18,340,2023-01-01 17:00:00,1962.0,Bill Payment,9.0,Good service,10,2023-01,13414.0,2682.8,5,0,9.504128762859725
81,272,2023-01-04 08:00:00,2839.0,Bill Payment,10.0,Good service,9,2023-01,14685.0,2937.0,5,0,9.594649938011555
82,403,2023-01-04 09:00:00,3883.0,Purchase,10.0,Unsatisfactory,4,2023-01,9454.0,3151.3333333333335,3,0,9.154298981092557
83,669,2023-01-04 10:00:00,57.0,Bill Payment,7.0,Needs improvement,2,2023-01,8914.0,1273.4285714285713,7,0,9.09549053029724
84,116,2023-01-04 11:00:00,2374.0,Loan Payment,10.0,Very satisfied,5,2023-01,19949.0,2849.8571428571427,7,0,9.90098442231801
85,435,2023-01-04 12:00:00,2266.0,Loan Payment,10.0,Very satisfied,9,2023-01,11883.0,1980.5,6,0,9.382948236582498
86,530,2023-01-04 13:00:00,4682.0,Bill Payment,9.0,Needs improvement,8,2023-01,37281.0,3389.181818181818,11,0,10.52626591542919
87,442,2023-01-04 14:00:00,763.0,Loan Payment,10.0,Good service,5,2023-01,12896.0,2579.2,5,0,9.464750005164392
88,172,2023-01-04 15:00:00,2812.0,Bill Payment,10.0,Excellent,2,2023-01,17092.0,2441.714285714286,7,0,9.746424301956267
89,16,2023-01-04 16:00:00,4659.0,Investment,10.0,Needs improvement,10,2023-01,28563.0,3570.375,8,0,10.259902462669
90,961,2023-01-04 17:00:00,3662.0,Investment,10.0,Excellent,10,2023-01,4226.0,1408.6666666666667,3,0,8.34924780056679
91,752,2023-01-04 18:00:00,412.0,Loan Payment,10.0,Needs improvement,4,2023-01,4865.0,1621.6666666666667,3,0,8.490027523343468
92,898,2023-01-04 19:00:00,2096.0,Purchase,10.0,Good service,2,2023-01,19588.0,2448.5,8,0,9.8827234631834
93,56,2023-01-04 20:00:00,2237.0,Investment,7.0,Good service,6,2023-01,9026.0,1805.2,5,0,9.107975365298154
94,591,2023-01-04 21:00:00,3420.0,Loan Payment,10.0,Good service,5,2023-01,21291.0,3041.5714285714284,7,0,9.966086694292647
95,103,2023-01-04 22:00:00,3000.0,Purchase,9.0,Good service,2,2023-01,20527.0,2565.875,8,0,9.929545086855418
96,284,2023-01-04 23:00:00,4653.0,Loan Payment,10.0,Good service,1,2023-01,9103.0,3034.3333333333335,3,0,9.116469156366112
97,705,2023-01-05 00:00:00,1159.0,Bill Payment,10.0,Good service,2,2023-01,15569.0,2224.1428571428573,7,0,9.653101264828043
98,517,2023-01-05 01:00:00,72.0,Loan Payment,10.0,Good service,9,2023-01,1303.0,434.3333333333333,3,0,7.1731917424865985
99,618,2023-01-05 02:00:00,4949.0,Bill Payment,10.0,Needs improvement,4,2023-01,27892.0,3984.5714285714284,7,0,10.236131040272427
100,278,2023-01-05 03:00:00,3163.0,Investment,10.0,Good service,2,2023-01,16540.0,2362.8571428571427,7,0,9.713597426242222
101,885,2023-01-05 04:00:00,1018.0,Investment,10.0,Good service,10,2023-01,27775.0,2525.0,11,0,10.231927617460077
102,612,2023-01-05 05:00:00,2041.0,Loan Payment,10.0,Excellent,7,2023-01,3002.0,1501.0,2,0,8.00736706798333
103,750,2023-01-05 06:00:00,1332.0,Purchase,10.0,Good service,9,2023-01,8468.0,1693.6,5,0,9.0441677169216
104,269,2023-01-05 07:00:00,2091.0,Loan Payment,10.0,Excellent,4,2023-01,9061.0,1812.2,5,0,9.111845125227083
105,833,2023-01-05 08:00:00,761.0,Loan Payment,7.0,Good service,2,2023-01,24905.0,2490.5,10,0,10.122864017281094
106,400,2023-01-05 09:00:00,4154.0,Investment,9.0,Good service,5,2023-01,17925.0,3585.0,5,0,9.794007451917308
107,503,2023-01-05 10:00:00,667.0,Investment,8.0,Good service,2,2023-01,8494.0,1698.8,5,0,9.047233034106032
108,86,2023-01-05 11:00:00,1670.0,Loan Payment,10.0,Needs improvement,10,2023-01,11973.0,2394.6,5,0,9.390492911485298
109,320,2023-01-05 12:00:00,710.0,Investment,10.0,Needs improvement,2,2023-01,16909.0,2113.625,8,0,9.735660441892627
110,32,2023-01-05 13:00:00,1090.0,Bill Payment,10.0,Needs improvement,4,2023-01,28958.0,3217.5555555555557,9,0,10.273636315516725
111,336,2023-01-05 14:00:00,2166.0,Loan Payment,5.0,Good service,6,2023-01,9769.0,1395.5714285714287,7,0,9.187071745036828
112,51,2023-01-05 15:00:00,1550.0,Investment,8.0,Needs improvement,8,2023-01,13557.0,2259.5,6,0,9.51473205799091
113,79,2023-01-05 16:00:00,3042.0,Loan Payment,8.0,Good service,7,2023-01,30179.0,3017.9,10,0,10.31493473232184
114,698,2023-01-05 17:00:00,1993.0,Investment,10.0,Good service,8,2023-01,16001.0,2285.8571428571427,7,0,9.68046899341007
115,174,2023-01-05 18:00:00,324.0,Bill Payment,8.0,Needs improvement,1,2023-01,5613.0,1871.0,3,0,8.633018756921828
116,948,2023-01-05 19:00:00,3091.0,Bill Payment,10.0,Unsatisfactory,4,2023-01,16412.0,2051.5,8,0,9.705828982731935
117,618,2023-01-05 20:00:00,4743.0,Loan Payment,10.0,Needs improvement,4,2023-01,27892.0,3984.5714285714284,7,0,10.236131040272427
