Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Transaction_Type,Transaction_Amount_log,Satisfaction_Score,Feedback_Comments,Likelihood_to_Recommend
1,393,2023-01-01 00:00:00,3472.0,Purchase,8.152774052744075,1.0,Excellent,3
2,826,2023-01-01 01:00:00,0.0,Bill Payment,0.0,10.0,Good service,5
3,916,2023-01-01 02:00:00,10.0,Purchase,2.3978952727983707,6.0,Needs improvement,3
4,109,2023-01-01 03:00:00,72.0,Investment,4.290459441148391,4.0,Good service,7
5,889,2023-01-01 04:00:00,1793.0,Investment,7.492203042618741,8.0,Very satisfied,3
6,348,2023-01-01 05:00:00,3824.0,Loan Payment,8.249313746260636,8.0,Good service,4
7,50,2023-01-01 06:00:00,235.0,Loan Payment,5.4638318050256105,6.0,Unsatisfactory,4
8,916,2023-01-01 07:00:00,1052.0,Loan Payment,6.959398512133975,6.0,Needs improvement,3
9,105,2023-01-01 08:00:00,854.0,Purchase,6.75110146893676,10.0,Very satisfied,10
10,420,2023-01-01 09:00:00,2690.0,Investment,7.897668150726906,10.0,Good service,9
11,373,2023-01-01 10:00:00,4129.0,Investment,8.326032685955079,9.0,Good service,2
12,27,2023-01-01 11:00:00,1244.0,Investment,7.126890808898808,10.0,Needs improvement,5
13,968,2023-01-01 12:00:00,1994.0,Bill Payment,7.598399329323964,10.0,Needs improvement,4
14,800,2023-01-01 13:00:00,4266.0,Purchase,8.358666283188,8.0,Very satisfied,10
15,769,2023-01-01 14:00:00,1288.0,Purchase,7.161622002939187,5.0,Unsatisfactory,8
16,273,2023-01-01 15:00:00,1604.0,Loan Payment,7.380879035564116,10.0,Needs improvement,7
17,649,2023-01-01 16:00:00,2561.0,Bill Payment,7.848543482456679,10.0,Unsatisfactory,2
18,340,2023-01-01 17:00:00,1962.0,Bill Payment,7.5822291942764615,9.0,Good service,10
19,301,2023-01-01 18:00:00,1705.0,Investment,7.441906728051625,7.0,Needs improvement,8
20,480,2023-01-01 19:00:00,964.0,Loan Payment,6.872128101338986,7.0,Unsatisfactory,5
21,834,2023-01-01 20:00:00,3301.0,Purchase,8.102283624480073,6.0,Unsatisfactory,3
22,544,2023-01-01 21:00:00,366.0,Bill Payment,5.905361848054571,5.0,Good service,5
23,557,2023-01-01 22:00:00,3605.0,Investment,8.190354403763262,7.0,Good service,5
24,265,2023-01-01 23:00:00,978.0,Purchase,6.88653164253051,9.0,Good service,6
25,542,2023-01-02 00:00:00,251.0,Investment,5.529429087511423,9.0,Needs improvement,2
26,596,2023-01-02 01:00:00,3456.0,Purchase,8.148156439921625,10.0,Very satisfied,1
27,166,2023-01-02 02:00:00,4244.0,Investment,8.353497098745448,6.0,Needs improvement,10
28,316,2023-01-02 03:00:00,2154.0,Purchase,7.675546002537848,10.0,Excellent,1
29,1,2023-01-02 04:00:00,156.0,Loan Payment,5.056245805348308,10.0,Very satisfied,9
30,761,2023-01-02 05:00:00,552.0,Purchase,6.315358001522335,7.0,Good service,7
31,261,2023-01-02 06:00:00,701.0,Purchase,6.553933404025811,10.0,Needs improvement,2
32,63,2023-01-02 07:00:00,0.0,Purchase,0.0,8.0,Unsatisfactory,3
33,483,2023-01-02 08:00:00,4060.0,Investment,8.309184527686298,10.0,Needs improvement,5
34,676,2023-01-02 09:00:00,4015.0,Bill Payment,8.298041661371565,10.0,Unsatisfactory,3
35,321,2023-01-02 10:00:00,3369.0,Purchase,8.122668023346407,8.0,Unsatisfactory,7
36,846,2023-01-02 11:00:00,2961.0,Purchase,7.993619994827744,10.0,Needs improvement,10
37,201,2023-01-02 12:00:00,739.0,Loan Payment,6.606650186198215,10.0,Unsatisfactory,8
38,222,2023-01-02 13:00:00,4509.0,Purchase,8.414052432496725,9.0,Unsatisfactory,2
39,152,2023-01-02 14:00:00,2565.0,Loan Payment,7.850103545175582,10.0,Needs improvement,7
40,644,2023-01-02 15:00:00,1160.0,Purchase,7.057036981697891,8.0,Very satisfied,10
41,626,2023-01-02 16:00:00,1745.0,Investment,7.465082736399547,9.0,Good service,10
42,462,2023-01-02 17:00:00,1048.0,Bill Payment,6.955592608396297,10.0,Unsatisfactory,9
43,217,2023-01-02 18:00:00,2922.0,Bill Payment,7.980365765111246,9.0,Good service,3
44,196,2023-01-02 19:00:00,4850.0,Bill Payment,8.486940148245216,10.0,Needs improvement,10
45,793,2023-01-02 20:00:00,2550.0,Investment,7.844240718141811,8.0,Excellent,4
46,202,2023-01-02 21:00:00,4424.0,Loan Payment,8.39502555744203,9.0,Unsatisfactory,3
47,995,2023-01-02 22:00:00,1252.0,Bill Payment,7.133295954896068,9.0,Good service,10
48,647,2023-01-02 23:00:00,782.0,Investment,6.663132695990803,10.0,Very satisfied,5
49,234,2023-01-03 00:00:00,1926.0,Investment,7.563719668414366,5.0,Needs improvement,10
50,141,2023-01-03 01:00:00,3422.0,Purchase,8.138272638530186,8.0,Unsatisfactory,10
51,708,2023-01-03 02:00:00,2509.0,Loan Payment,7.828038032125829,8.0,Very satisfied,7
52,498,2023-01-03 03:00:00,3450.0,Investment,8.146419323098003,9.0,Good service,3
53,555,2023-01-03 04:00:00,3555.0,Loan Payment,8.176391596633795,10.0,Very satisfied,5
54,57,2023-01-03 05:00:00,1223.0,Bill Payment,7.1098794630722715,8.0,Very satisfied,2
55,932,2023-01-03 06:00:00,2941.0,Bill Payment,7.9868449011613825,9.0,Very satisfied,2
56,504,2023-01-03 07:00:00,428.0,Bill Payment,6.061456918928017,8.0,Good service,3
57,142,2023-01-03 08:00:00,3791.0,Purchase,8.240648863374913,9.0,Unsatisfactory,2
58,722,2023-01-03 09:00:00,4970.0,Purchase,8.511376306094673,10.0,Unsatisfactory,1
59,584,2023-01-03 10:00:00,798.0,Loan Payment,6.683360945766275,6.0,Very satisfied,3
60,736,2023-01-03 11:00:00,1881.0,Loan Payment,7.540090320145325,9.0,Needs improvement,3
61,539,2023-01-03 12:00:00,4600.0,Purchase,8.434028950155469,9.0,Needs improvement,9
62,640,2023-01-03 13:00:00,2035.0,Investment,7.618742377670413,10.0,Good service,8
63,106,2023-01-03 14:00:00,2456.0,Loan Payment,7.806696372521179,9.0,Unsatisfactory,1
64,165,2023-01-03 15:00:00,4833.0,Loan Payment,8.483429561263428,9.0,Good service,9
65,215,2023-01-03 16:00:00,570.0,Bill Payment,6.3473892096560105,9.0,Unsatisfactory,9
66,71,2023-01-03 17:00:00,2661.0,Loan Payment,7.886832998955057,4.0,Good service,6
67,716,2023-01-03 18:00:00,3914.0,Loan Payment,8.272570608424903,8.0,Needs improvement,10
68,665,2023-01-03 19:00:00,549.0,Investment,6.309918278226516,9.0,Very satisfied,9
69,579,2023-01-03 20:00:00,4765.0,Loan Payment,8.469262657658687,8.0,Unsatisfactory,9
70,90,2023-01-03 21:00:00,3146.0,Investment,8.054204897064407,6.0,Unsatisfactory,1
71,772,2023-01-03 22:00:00,3299.0,Bill Payment,8.101677747454572,9.0,Unsatisfactory,8
72,874,2023-01-03 23:00:00,2620.0,Purchase,7.8713112033234065,7.0,Good service,1
73,228,2023-01-04 00:00:00,4922.0,Bill Payment,8.5016733797582,10.0,Unsatisfactory,1
74,79,2023-01-04 01:00:00,1954.0,Investment,7.578145472419466,8.0,Good service,7
75,608,2023-01-04 02:00:00,3155.0,Investment,8.057060681965766,10.0,Good service,7
76,349,2023-01-04 03:00:00,2768.0,Loan Payment,7.926241523170962,3.0,Needs improvement,10
77,842,2023-01-04 04:00:00,3270.0,Loan Payment,8.092851027538384,8.0,Unsatisfactory,7
78,981,2023-01-04 05:00:00,4117.0,Purchase,8.323122887587735,9.0,Unsatisfactory,1
79,894,2023-01-04 06:00:00,1905.0,Investment,7.552762084214147,10.0,Good service,10
80,246,2023-01-04 07:00:00,2510.0,Investment,7.828436359157585,10.0,Needs improvement,3
81,272,2023-01-04 08:00:00,2839.0,Bill Payment,7.951559331155252,10.0,Good service,9
82,403,2023-01-04 09:00:00,3883.0,Purchase,8.264620829411216,10.0,Unsatisfactory,4
83,669,2023-01-04 10:00:00,57.0,Bill Payment,4.060443010546419,7.0,Needs improvement,2
84,116,2023-01-04 11:00:00,2374.0,Loan Payment,7.772752716468742,10.0,Very satisfied,5
85,435,2023-01-04 12:00:00,2266.0,Loan Payment,7.726212650507529,10.0,Very satisfied,9
86,530,2023-01-04 13:00:00,4682.0,Bill Payment,8.451694209183541,15.5,Good service,10
87,442,2023-01-04 14:00:00,763.0,Loan Payment,6.638567789166521,10.0,Good service,5
88,172,2023-01-04 15:00:00,2812.0,Bill Payment,7.9420068084898565,10.0,Excellent,2
89,16,2023-01-04 16:00:00,4659.0,Investment,8.446770727119691,10.0,Needs improvement,10
90,961,2023-01-04 17:00:00,3662.0,Investment,8.206037762778815,10.0,Excellent,10
91,752,2023-01-04 18:00:00,412.0,Loan Payment,6.023447592961033,10.0,Needs improvement,4
92,898,2023-01-04 19:00:00,2096.0,Purchase,7.64826303090192,10.0,Good service,2
93,56,2023-01-04 20:00:00,2237.0,Investment,7.71333788887187,7.0,Good service,6
94,591,2023-01-04 21:00:00,3420.0,Loan Payment,8.137688184977605,10.0,Good service,5
95,103,2023-01-04 22:00:00,3000.0,Purchase,8.006700845440367,9.0,Good service,2
96,284,2023-01-04 23:00:00,4653.0,Loan Payment,8.445482343862237,10.0,Good service,1
97,705,2023-01-05 00:00:00,1159.0,Bill Payment,7.05617528410041,10.0,Good service,2
98,517,2023-01-05 01:00:00,72.0,Loan Payment,4.290459441148391,10.0,Good service,9
99,618,2023-01-05 02:00:00,4949.0,Bill Payment,8.507142855562735,10.0,Needs improvement,4
100,278,2023-01-05 03:00:00,3163.0,Investment,8.059592328887545,10.0,Good service,2
101,885,2023-01-05 04:00:00,1018.0,Investment,6.926577033222725,10.0,Good service,10
102,612,2023-01-05 05:00:00,2041.0,Loan Payment,7.621684998724611,10.0,Excellent,7
103,750,2023-01-05 06:00:00,1332.0,Purchase,7.195187320178709,10.0,Good service,9
104,269,2023-01-05 07:00:00,2091.0,Loan Payment,7.645875825184813,10.0,Excellent,4
105,833,2023-01-05 08:00:00,761.0,Loan Payment,6.635946555686647,7.0,Good service,2
106,400,2023-01-05 09:00:00,4154.0,Investment,8.332067707289548,9.0,Good service,5
107,503,2023-01-05 10:00:00,667.0,Investment,6.504288173536645,15.5,Excellent,8
108,86,2023-01-05 11:00:00,1670.0,Loan Payment,7.421177528595393,10.0,Needs improvement,10
109,320,2023-01-05 12:00:00,710.0,Investment,6.566672429803241,10.0,Needs improvement,2
110,32,2023-01-05 13:00:00,1090.0,Bill Payment,6.994849985833071,10.0,Needs improvement,4
111,336,2023-01-05 14:00:00,2166.0,Loan Payment,7.681099001536359,5.0,Good service,6
112,51,2023-01-05 15:00:00,1550.0,Investment,7.346655163176539,8.0,Needs improvement,8
113,79,2023-01-05 16:00:00,3042.0,Loan Payment,8.02059914989697,8.0,Good service,7
114,698,2023-01-05 17:00:00,1993.0,Investment,7.597897950521784,10.0,Good service,8
115,174,2023-01-05 18:00:00,324.0,Bill Payment,5.783825182329737,8.0,Needs improvement,1
116,948,2023-01-05 19:00:00,3091.0,Bill Payment,8.036573409707312,10.0,Unsatisfactory,4
117,618,2023-01-05 20:00:00,4743.0,Loan Payment,8.464635940677562,10.0,Needs improvement,4
118,501,2023-01-05 21:00:00,2324.0,Bill Payment,7.751475318021456,9.0,Good service,5
119,575,2023-01-05 22:00:00,2145.0,Bill Payment,7.671360923190644,10.0,Unsatisfactory,1
120,76,2023-01-05 23:00:00,1659.0,Investment,7.414572881350589,8.0,Good service,9
121,316,2023-01-06 00:00:00,3229.0,Loan Payment,8.080237416216702,10.0,Excellent,1
