Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Transaction_Type,Transaction_Year,Transaction_Month,Transaction_Day,Transaction_DayOfWeek,Amount_Category
1,393,2023-01-01 00:00:00,3472.0,Purchase,2023,1,1,6,Large
2,826,2023-01-01 01:00:00,2481.5,Bill Payment,2023,1,1,6,Large
3,916,2023-01-01 02:00:00,10.0,Purchase,2023,1,1,6,Small
4,109,2023-01-01 03:00:00,72.0,Investment,2023,1,1,6,Small
5,889,2023-01-01 04:00:00,1793.0,Investment,2023,1,1,6,Large
6,348,2023-01-01 05:00:00,3824.0,Loan Payment,2023,1,1,6,Large
7,50,2023-01-01 06:00:00,235.0,Loan Payment,2023,1,1,6,Small
8,916,2023-01-01 07:00:00,1052.0,Loan Payment,2023,1,1,6,Medium
9,105,2023-01-01 08:00:00,854.0,Purchase,2023,1,1,6,Medium
10,420,2023-01-01 09:00:00,2690.0,Investment,2023,1,1,6,Large
11,373,2023-01-01 10:00:00,4129.0,Investment,2023,1,1,6,Large
12,27,2023-01-01 11:00:00,1244.0,Investment,2023,1,1,6,Medium
13,968,2023-01-01 12:00:00,1994.0,Bill Payment,2023,1,1,6,Large
14,800,2023-01-01 13:00:00,4266.0,Purchase,2023,1,1,6,Large
15,769,2023-01-01 14:00:00,1288.0,Purchase,2023,1,1,6,Medium
16,273,2023-01-01 15:00:00,1604.0,Loan Payment,2023,1,1,6,Large
17,649,2023-01-01 16:00:00,2561.0,Bill Payment,2023,1,1,6,Large
18,340,2023-01-01 17:00:00,1962.0,Bill Payment,2023,1,1,6,Large
19,301,2023-01-01 18:00:00,1705.0,Investment,2023,1,1,6,Large
20,480,2023-01-01 19:00:00,964.0,Loan Payment,2023,1,1,6,Medium
21,834,2023-01-01 20:00:00,3301.0,Purchase,2023,1,1,6,Large
22,544,2023-01-01 21:00:00,366.0,Bill Payment,2023,1,1,6,Small
23,557,2023-01-01 22:00:00,3605.0,Investment,2023,1,1,6,Large
24,265,2023-01-01 23:00:00,978.0,Purchase,2023,1,1,6,Medium
25,542,2023-01-02 00:00:00,251.0,Investment,2023,1,2,0,Small
26,596,2023-01-02 01:00:00,3456.0,Purchase,2023,1,2,0,Large
27,166,2023-01-02 02:00:00,4244.0,Investment,2023,1,2,0,Large
28,316,2023-01-02 03:00:00,2154.0,Purchase,2023,1,2,0,Large
29,1,2023-01-02 04:00:00,156.0,Loan Payment,2023,1,2,0,Small
30,761,2023-01-02 05:00:00,552.0,Purchase,2023,1,2,0,Medium
31,261,2023-01-02 06:00:00,701.0,Purchase,2023,1,2,0,Medium
32,63,2023-01-02 07:00:00,2481.5,Purchase,2023,1,2,0,Large
33,483,2023-01-02 08:00:00,4060.0,Investment,2023,1,2,0,Large
34,676,2023-01-02 09:00:00,4015.0,Bill Payment,2023,1,2,0,Large
35,321,2023-01-02 10:00:00,3369.0,Purchase,2023,1,2,0,Large
36,846,2023-01-02 11:00:00,2961.0,Purchase,2023,1,2,0,Large
37,201,2023-01-02 12:00:00,739.0,Loan Payment,2023,1,2,0,Medium
38,222,2023-01-02 13:00:00,4509.0,Purchase,2023,1,2,0,Large
39,152,2023-01-02 14:00:00,2565.0,Loan Payment,2023,1,2,0,Large
40,644,2023-01-02 15:00:00,1160.0,Purchase,2023,1,2,0,Medium
41,626,2023-01-02 16:00:00,1745.0,Investment,2023,1,2,0,Large
42,462,2023-01-02 17:00:00,1048.0,Bill Payment,2023,1,2,0,Medium
43,217,2023-01-02 18:00:00,2922.0,Bill Payment,2023,1,2,0,Large
44,196,2023-01-02 19:00:00,4850.0,Bill Payment,2023,1,2,0,Large
45,793,2023-01-02 20:00:00,2550.0,Investment,2023,1,2,0,Large
46,202,2023-01-02 21:00:00,4424.0,Loan Payment,2023,1,2,0,Large
47,995,2023-01-02 22:00:00,1252.0,Bill Payment,2023,1,2,0,Medium
48,647,2023-01-02 23:00:00,782.0,Investment,2023,1,2,0,Medium
49,234,2023-01-03 00:00:00,1926.0,Investment,2023,1,3,1,Large
50,141,2023-01-03 01:00:00,3422.0,Purchase,2023,1,3,1,Large
51,708,2023-01-03 02:00:00,2509.0,Loan Payment,2023,1,3,1,Large
52,498,2023-01-03 03:00:00,3450.0,Investment,2023,1,3,1,Large
53,555,2023-01-03 04:00:00,3555.0,Loan Payment,2023,1,3,1,Large
54,57,2023-01-03 05:00:00,1223.0,Bill Payment,2023,1,3,1,Medium
55,932,2023-01-03 06:00:00,2941.0,Bill Payment,2023,1,3,1,Large
56,504,2023-01-03 07:00:00,428.0,Bill Payment,2023,1,3,1,Small
57,142,2023-01-03 08:00:00,3791.0,Purchase,2023,1,3,1,Large
58,722,2023-01-03 09:00:00,4970.0,Purchase,2023,1,3,1,Large
59,584,2023-01-03 10:00:00,798.0,Loan Payment,2023,1,3,1,Medium
60,736,2023-01-03 11:00:00,1881.0,Loan Payment,2023,1,3,1,Large
61,539,2023-01-03 12:00:00,4600.0,Purchase,2023,1,3,1,Large
62,640,2023-01-03 13:00:00,2035.0,Investment,2023,1,3,1,Large
63,106,2023-01-03 14:00:00,2456.0,Loan Payment,2023,1,3,1,Large
64,165,2023-01-03 15:00:00,4833.0,Loan Payment,2023,1,3,1,Large
65,215,2023-01-03 16:00:00,570.0,Bill Payment,2023,1,3,1,Medium
66,71,2023-01-03 17:00:00,2661.0,Loan Payment,2023,1,3,1,Large
67,716,2023-01-03 18:00:00,3914.0,Loan Payment,2023,1,3,1,Large
68,665,2023-01-03 19:00:00,549.0,Investment,2023,1,3,1,Medium
69,579,2023-01-03 20:00:00,4765.0,Loan Payment,2023,1,3,1,Large
70,90,2023-01-03 21:00:00,3146.0,Investment,2023,1,3,1,Large
71,772,2023-01-03 22:00:00,3299.0,Bill Payment,2023,1,3,1,Large
72,874,2023-01-03 23:00:00,2620.0,Purchase,2023,1,3,1,Large
73,228,2023-01-04 00:00:00,4922.0,Bill Payment,2023,1,4,2,Large
74,79,2023-01-04 01:00:00,1954.0,Investment,2023,1,4,2,Large
75,608,2023-01-04 02:00:00,3155.0,Investment,2023,1,4,2,Large
76,349,2023-01-04 03:00:00,2768.0,Loan Payment,2023,1,4,2,Large
77,842,2023-01-04 04:00:00,3270.0,Loan Payment,2023,1,4,2,Large
78,981,2023-01-04 05:00:00,4117.0,Purchase,2023,1,4,2,Large
79,894,2023-01-04 06:00:00,1905.0,Investment,2023,1,4,2,Large
80,246,2023-01-04 07:00:00,2510.0,Investment,2023,1,4,2,Large
81,272,2023-01-04 08:00:00,2839.0,Bill Payment,2023,1,4,2,Large
82,403,2023-01-04 09:00:00,3883.0,Purchase,2023,1,4,2,Large
